transact_no,symbol,buyer_broker,seller_broker,quantity,rate,amount,date
2026040101015248,GBIME,34,34,200,239.10,47820.00,2026-04-01
2026040101015247,GBIME,49,34,107,239.10,25583.70,2026-04-01
2026040101015246,GBIME,41,34,77,239.70,18456.90,2026-04-01
2026040101015814,GBIME,42,22,2000,241.00,482000.00,2026-04-01
2026040101015813,GBIME,42,58,1751,240.90,421815.90,2026-04-01
2026040101015812,GBIME,42,35,620,240.90,149358.00,2026-04-01
2026040101015549,GBIME,76,35,10,240.90,2409.00,2026-04-01
2026040101015517,GBIME,1,29,99,240.00,23760.00,2026-04-01
2026040101015502,GBIME,18,29,10,240.00,2400.00,2026-04-01
2026040101016529,GBIME,58,58,42,241.50,10143.00,2026-04-01
2026040101016478,GBIME,56,57,10,241.80,2418.00,2026-04-01
2026040101016196,GBIME,1,57,500,241.80,120900.00,2026-04-01
2026040101016117,GBIME,58,11,120,241.50,28980.00,2026-04-01
2026040101015851,GBIME,58,35,10,241.90,2419.00,2026-04-01
2026040101015815,GBIME,42,22,360,241.00,86760.00,2026-04-01
2026040101016998,GBIME,26,34,50,241.00,12050.00,2026-04-01
2026040101016997,GBIME,45,34,100,241.00,24100.00,2026-04-01
2026040101016996,GBIME,49,34,75,241.00,18075.00,2026-04-01
2026040101016995,GBIME,42,34,269,241.00,64829.00,2026-04-01
2026040101016629,GBIME,58,44,338,241.50,81627.00,2026-04-01
2026040101016600,GBIME,42,57,11,241.80,2659.80,2026-04-01
2026040101017258,GBIME,59,45,278,240.10,66747.80,2026-04-01
2026040101017257,GBIME,58,45,48,240.20,11529.60,2026-04-01
2026040101017186,GBIME,58,57,52,240.20,12490.40,2026-04-01
2026040101017185,GBIME,29,57,10,240.30,2403.00,2026-04-01
2026040101017018,GBIME,1,77,144,241.60,34790.40,2026-04-01
2026040101017017,GBIME,1,34,106,241.00,25546.00,2026-04-01
2026040101017428,GBIME,49,29,50,240.00,12000.00,2026-04-01
2026040101017427,GBIME,49,29,72,240.00,17280.00,2026-04-01
2026040101017394,GBIME,49,52,28,240.00,6720.00,2026-04-01
2026040101017393,GBIME,35,52,250,240.00,60000.00,2026-04-01
2026040101017392,GBIME,59,52,722,240.10,173352.20,2026-04-01
2026040101017284,GBIME,76,77,10,241.60,2416.00,2026-04-01
2026040101017434,GBIME,34,29,11,240.00,2640.00,2026-04-01
2026040101017433,GBIME,48,29,1000,240.00,240000.00,2026-04-01
2026040101017432,GBIME,22,29,100,240.00,24000.00,2026-04-01
2026040101017431,GBIME,22,29,100,240.00,24000.00,2026-04-01
2026040101017430,GBIME,38,29,20,240.00,4800.00,2026-04-01
2026040101017429,GBIME,57,29,210,240.00,50400.00,2026-04-01
2026040101018441,GBIME,32,57,500,240.00,120000.00,2026-04-01
2026040101018326,GBIME,32,57,187,240.00,44880.00,2026-04-01
2026040101018325,GBIME,48,57,250,240.00,60000.00,2026-04-01
2026040101018324,GBIME,52,57,563,240.00,135120.00,2026-04-01
2026040101017654,GBIME,52,42,1000,240.00,240000.00,2026-04-01
2026040101017435,GBIME,52,29,437,240.00,104880.00,2026-04-01
2026040101018715,GBIME,62,45,1,239.20,239.20,2026-04-01
2026040101018695,GBIME,62,58,100,239.20,23920.00,2026-04-01
2026040101018693,GBIME,58,51,1,241.00,241.00,2026-04-01
2026040101018644,GBIME,6,55,200,239.50,47900.00,2026-04-01
2026040101018550,GBIME,42,57,10,240.00,2400.00,2026-04-01
2026040101018549,GBIME,32,57,313,240.00,75120.00,2026-04-01
2026040101019325,GBIME,1,39,1700,239.20,406640.00,2026-04-01
2026040101019324,GBIME,58,39,10,239.20,2392.00,2026-04-01
2026040101019323,GBIME,42,39,95,239.50,22752.50,2026-04-01
2026040101019178,GBIME,21,34,10,240.00,2400.00,2026-04-01
2026040101019114,GBIME,46,34,20,240.00,4800.00,2026-04-01
2026040101018725,GBIME,42,55,100,239.50,23950.00,2026-04-01
2026040101019730,GBIME,32,17,50,239.30,11965.00,2026-04-01
2026040101019710,GBIME,1,34,50,240.00,12000.00,2026-04-01
2026040101019692,GBIME,56,34,10,240.00,2400.00,2026-04-01
2026040101019548,GBIME,52,4,1163,239.20,278189.60,2026-04-01
2026040101019547,GBIME,58,4,24,239.30,5743.20,2026-04-01
2026040101019326,GBIME,52,39,30,239.20,7176.00,2026-04-01
2026040101020001,GBIME,52,35,101,239.20,24159.20,2026-04-01
2026040101019936,GBIME,52,33,100,239.20,23920.00,2026-04-01
2026040101019896,GBIME,52,49,200,239.20,47840.00,2026-04-01
2026040101019871,GBIME,52,4,501,239.20,119839.20,2026-04-01
2026040101019762,GBIME,32,58,47,239.30,11247.10,2026-04-01
2026040101019736,GBIME,32,46,400,239.30,95720.00,2026-04-01
2026040101020306,GBIME,42,38,20,239.30,4786.00,2026-04-01
2026040101020163,GBIME,49,58,250,239.10,59775.00,2026-04-01
2026040101020102,GBIME,49,74,85,239.10,20323.50,2026-04-01
2026040101020101,GBIME,58,74,10,239.20,2392.00,2026-04-01
2026040101020100,GBIME,52,74,1905,239.20,455676.00,2026-04-01
2026040101020012,GBIME,52,49,1000,239.20,239200.00,2026-04-01
2026040101020585,GBIME,34,49,150,239.50,35925.00,2026-04-01
2026040101020504,GBIME,32,49,20,239.50,4790.00,2026-04-01
2026040101020401,GBIME,49,56,17,239.10,4064.70,2026-04-01
2026040101020313,GBIME,49,58,800,239.10,191280.00,2026-04-01
2026040101020308,GBIME,49,38,880,239.10,210408.00,2026-04-01
2026040101020307,GBIME,45,38,200,239.30,47860.00,2026-04-01
2026040101021023,GBIME,49,43,103,239.10,24627.30,2026-04-01
2026040101020948,GBIME,49,38,300,239.10,71730.00,2026-04-01
2026040101020695,GBIME,49,51,200,239.10,47820.00,2026-04-01
2026040101020674,GBIME,49,62,1300,239.10,310830.00,2026-04-01
2026040101020673,GBIME,35,62,700,239.20,167440.00,2026-04-01
2026040101020599,GBIME,35,51,300,239.20,71760.00,2026-04-01
2026040101021355,GBIME,1,57,167,240.00,40080.00,2026-04-01
2026040101021354,GBIME,1,34,33,240.00,7920.00,2026-04-01
2026040101021261,GBIME,58,49,262,239.50,62749.00,2026-04-01
2026040101021244,GBIME,66,55,324,239.10,77468.40,2026-04-01
2026040101021243,GBIME,49,55,676,239.10,161631.60,2026-04-01
2026040101021030,GBIME,49,58,365,239.10,87271.50,2026-04-01
2026040101021368,GBIME,57,74,100,239.00,23900.00,2026-04-01
2026040101021367,GBIME,1,74,200,239.10,47820.00,2026-04-01
2026040101021366,GBIME,44,74,50,239.10,11955.00,2026-04-01
2026040101021365,GBIME,14,74,20,239.10,4782.00,2026-04-01
2026040101021364,GBIME,66,74,176,239.10,42081.60,2026-04-01
2026040101021363,GBIME,58,74,38,239.50,9101.00,2026-04-01
2026040101021374,GBIME,13,74,10,239.00,2390.00,2026-04-01
2026040101021373,GBIME,26,74,100,239.00,23900.00,2026-04-01
2026040101021372,GBIME,46,74,30,239.00,7170.00,2026-04-01
2026040101021371,GBIME,45,74,20,239.00,4780.00,2026-04-01
2026040101021370,GBIME,58,74,50,239.00,11950.00,2026-04-01
2026040101021369,GBIME,17,74,200,239.00,47800.00,2026-04-01
2026040101021380,GBIME,22,74,50,239.00,11950.00,2026-04-01
2026040101021379,GBIME,42,74,15,239.00,3585.00,2026-04-01
2026040101021378,GBIME,7,74,10,239.00,2390.00,2026-04-01
2026040101021377,GBIME,55,74,230,239.00,54970.00,2026-04-01
2026040101021376,GBIME,45,74,50,239.00,11950.00,2026-04-01
2026040101021375,GBIME,21,74,40,239.00,9560.00,2026-04-01
2026040101021386,GBIME,17,74,139,239.00,33221.00,2026-04-01
2026040101021385,GBIME,34,74,100,239.00,23900.00,2026-04-01
2026040101021384,GBIME,41,74,100,239.00,23900.00,2026-04-01
2026040101021383,GBIME,58,74,22,239.00,5258.00,2026-04-01
2026040101021382,GBIME,84,74,200,239.00,47800.00,2026-04-01
2026040101021381,GBIME,51,74,50,239.00,11950.00,2026-04-01
2026040101021501,GBIME,45,58,40,239.00,9560.00,2026-04-01
2026040101021500,GBIME,45,58,100,239.10,23910.00,2026-04-01
2026040101021472,GBIME,1,58,163,239.00,38957.00,2026-04-01
2026040101021471,GBIME,17,58,100,239.00,23900.00,2026-04-01
2026040101021470,GBIME,17,58,1737,239.00,415143.00,2026-04-01
2026040101021445,GBIME,17,7,24,239.00,5736.00,2026-04-01
2026040101021580,GBIME,49,74,50,239.00,11950.00,2026-04-01
2026040101021579,GBIME,56,74,114,239.00,27246.00,2026-04-01
2026040101021541,GBIME,44,58,170,240.00,40800.00,2026-04-01
2026040101021540,GBIME,44,14,20,240.00,4800.00,2026-04-01
2026040101021539,GBIME,44,57,10,240.00,2400.00,2026-04-01
2026040101021502,GBIME,56,58,80,239.00,19120.00,2026-04-01
2026040101021927,GBIME,32,14,100,239.00,23900.00,2026-04-01
2026040101021858,GBIME,32,49,20,239.00,4780.00,2026-04-01
2026040101021685,GBIME,32,45,378,239.00,90342.00,2026-04-01
2026040101021684,GBIME,57,45,17,239.00,4063.00,2026-04-01
2026040101021582,GBIME,58,74,16,239.00,3824.00,2026-04-01
2026040101021581,GBIME,34,74,20,239.00,4780.00,2026-04-01
2026040101021959,GBIME,64,52,100,238.90,23890.00,2026-04-01
2026040101021958,GBIME,32,52,800,239.00,191200.00,2026-04-01
2026040101021957,GBIME,4,52,10,239.00,2390.00,2026-04-01
2026040101021956,GBIME,56,52,40,239.00,9560.00,2026-04-01
2026040101021955,GBIME,32,52,20,239.00,4780.00,2026-04-01
2026040101021954,GBIME,58,52,50,239.00,11950.00,2026-04-01
2026040101022314,GBIME,76,58,10,240.00,2400.00,2026-04-01
2026040101022179,GBIME,22,40,19,238.50,4531.50,2026-04-01
2026040101022178,GBIME,16,40,34,238.50,8109.00,2026-04-01
2026040101022140,GBIME,16,21,11,238.50,2623.50,2026-04-01
2026040101022001,GBIME,42,42,130,239.00,31070.00,2026-04-01
2026040101021960,GBIME,16,52,55,238.50,13117.50,2026-04-01
2026040101022719,GBIME,57,58,100,240.00,24000.00,2026-04-01
2026040101022718,GBIME,57,58,15,240.00,3600.00,2026-04-01
2026040101022717,GBIME,57,35,60,239.00,14340.00,2026-04-01
2026040101022701,GBIME,55,35,71,239.00,16969.00,2026-04-01
2026040101022609,GBIME,55,52,129,239.00,30831.00,2026-04-01
2026040101022482,GBIME,89,58,10,240.00,2400.00,2026-04-01
2026040101023041,GBIME,35,74,100,238.50,23850.00,2026-04-01
2026040101023017,GBIME,45,14,10,238.50,2385.00,2026-04-01
2026040101023016,GBIME,22,14,181,238.50,43168.50,2026-04-01
2026040101022722,GBIME,57,32,82,240.00,19680.00,2026-04-01
2026040101022721,GBIME,57,58,143,240.00,34320.00,2026-04-01
2026040101022720,GBIME,57,38,100,240.00,24000.00,2026-04-01
2026040101023047,GBIME,46,74,100,238.20,23820.00,2026-04-01
2026040101023046,GBIME,32,74,60,238.20,14292.00,2026-04-01
2026040101023045,GBIME,19,74,500,238.30,119150.00,2026-04-01
2026040101023044,GBIME,58,74,280,238.30,66724.00,2026-04-01
2026040101023043,GBIME,17,74,100,238.40,23840.00,2026-04-01
2026040101023042,GBIME,1,74,500,238.50,119250.00,2026-04-01
2026040101023053,GBIME,57,74,998,238.20,237723.60,2026-04-01
2026040101023052,GBIME,42,74,200,238.20,47640.00,2026-04-01
2026040101023051,GBIME,34,74,150,238.20,35730.00,2026-04-01
2026040101023050,GBIME,34,74,100,238.20,23820.00,2026-04-01
2026040101023049,GBIME,50,74,100,238.20,23820.00,2026-04-01
2026040101023048,GBIME,45,74,1000,238.20,238200.00,2026-04-01
2026040101023419,GBIME,14,74,250,238.10,59525.00,2026-04-01
2026040101023418,GBIME,14,74,454,238.10,108097.40,2026-04-01
2026040101023252,GBIME,14,17,25,238.10,5952.50,2026-04-01
2026040101023184,GBIME,14,57,521,238.10,124050.10,2026-04-01
2026040101023183,GBIME,58,57,100,238.10,23810.00,2026-04-01
2026040101023074,GBIME,45,74,40,238.20,9528.00,2026-04-01
2026040101023629,GBIME,58,47,30,238.00,7140.00,2026-04-01
2026040101023628,GBIME,29,47,100,238.00,23800.00,2026-04-01
2026040101023627,GBIME,49,47,200,238.00,47600.00,2026-04-01
2026040101023626,GBIME,6,47,396,238.00,94248.00,2026-04-01
2026040101023523,GBIME,6,41,50,238.00,11900.00,2026-04-01
2026040101023420,GBIME,6,74,54,238.00,12852.00,2026-04-01
2026040101023636,GBIME,58,42,825,238.00,196350.00,2026-04-01
2026040101023635,GBIME,33,42,250,238.00,59500.00,2026-04-01
2026040101023634,GBIME,25,42,74,238.00,17612.00,2026-04-01
2026040101023633,GBIME,57,42,236,238.00,56168.00,2026-04-01
2026040101023631,GBIME,57,47,264,238.00,62832.00,2026-04-01
2026040101023630,GBIME,13,47,10,238.00,2380.00,2026-04-01
2026040101023642,GBIME,26,42,215,238.00,51170.00,2026-04-01
2026040101023641,GBIME,55,42,10,238.00,2380.00,2026-04-01
2026040101023640,GBIME,49,42,100,238.00,23800.00,2026-04-01
2026040101023639,GBIME,54,42,100,238.00,23800.00,2026-04-01
2026040101023638,GBIME,49,42,50,238.00,11900.00,2026-04-01
2026040101023637,GBIME,41,42,100,238.00,23800.00,2026-04-01
2026040101023679,GBIME,42,48,120,238.00,28560.00,2026-04-01
2026040101023678,GBIME,49,48,200,238.00,47600.00,2026-04-01
2026040101023677,GBIME,42,48,570,238.00,135660.00,2026-04-01
2026040101023645,GBIME,42,42,1110,238.00,264180.00,2026-04-01
2026040101023644,GBIME,34,42,200,238.00,47600.00,2026-04-01
2026040101023643,GBIME,52,42,80,238.00,19040.00,2026-04-01
2026040101023685,GBIME,58,48,99,238.00,23562.00,2026-04-01
2026040101023684,GBIME,45,48,100,238.00,23800.00,2026-04-01
2026040101023683,GBIME,52,48,15,238.00,3570.00,2026-04-01
2026040101023682,GBIME,42,48,50,238.00,11900.00,2026-04-01
2026040101023681,GBIME,11,48,35,238.00,8330.00,2026-04-01
2026040101023680,GBIME,38,48,100,238.00,23800.00,2026-04-01
2026040101023691,GBIME,41,48,100,237.20,23720.00,2026-04-01
2026040101023690,GBIME,58,48,15,237.20,3558.00,2026-04-01
2026040101023689,GBIME,58,48,100,238.00,23800.00,2026-04-01
2026040101023688,GBIME,57,48,450,238.00,107100.00,2026-04-01
2026040101023687,GBIME,32,48,500,238.00,119000.00,2026-04-01
2026040101023686,GBIME,58,48,20,238.00,4760.00,2026-04-01
2026040101023697,GBIME,6,48,703,237.00,166611.00,2026-04-01
2026040101023696,GBIME,42,48,50,237.00,11850.00,2026-04-01
2026040101023695,GBIME,46,48,50,237.00,11850.00,2026-04-01
2026040101023694,GBIME,6,48,23,237.00,5451.00,2026-04-01
2026040101023693,GBIME,32,48,1000,237.10,237100.00,2026-04-01
2026040101023692,GBIME,38,48,200,237.10,47420.00,2026-04-01
2026040101024347,GBIME,40,25,100,237.50,23750.00,2026-04-01
2026040101024170,GBIME,29,41,103,237.00,24411.00,2026-04-01
2026040101024169,GBIME,6,41,297,237.00,70389.00,2026-04-01
2026040101023838,GBIME,49,74,1240,238.20,295368.00,2026-04-01
2026040101023837,GBIME,49,47,50,238.10,11905.00,2026-04-01
2026040101023836,GBIME,49,57,210,238.00,49980.00,2026-04-01
2026040101024639,GBIME,41,57,100,237.00,23700.00,2026-04-01
2026040101024638,GBIME,58,57,200,237.00,47400.00,2026-04-01
2026040101024637,GBIME,49,57,980,237.00,232260.00,2026-04-01
2026040101024609,GBIME,49,17,20,237.00,4740.00,2026-04-01
2026040101024349,GBIME,29,25,97,237.00,22989.00,2026-04-01
2026040101024348,GBIME,54,25,50,237.50,11875.00,2026-04-01
2026040101024918,GBIME,41,13,20,238.00,4760.00,2026-04-01
2026040101024767,GBIME,38,56,150,238.10,35715.00,2026-04-01
2026040101024698,GBIME,38,47,100,238.10,23810.00,2026-04-01
2026040101024642,GBIME,32,57,11,237.00,2607.00,2026-04-01
2026040101024641,GBIME,19,57,699,237.00,165663.00,2026-04-01
2026040101024640,GBIME,58,57,10,237.00,2370.00,2026-04-01
2026040101025123,GBIME,64,51,100,237.00,23700.00,2026-04-01
2026040101025122,GBIME,25,51,50,237.00,11850.00,2026-04-01
2026040101025121,GBIME,67,51,500,237.00,118500.00,2026-04-01
2026040101025120,GBIME,4,51,200,237.00,47400.00,2026-04-01
2026040101025119,GBIME,56,51,10,237.00,2370.00,2026-04-01
2026040101025118,GBIME,32,51,19,237.00,4503.00,2026-04-01
2026040101025129,GBIME,34,51,317,237.00,75129.00,2026-04-01
2026040101025128,GBIME,45,51,28,237.00,6636.00,2026-04-01
2026040101025127,GBIME,42,51,215,237.00,50955.00,2026-04-01
2026040101025126,GBIME,49,51,40,237.00,9480.00,2026-04-01
2026040101025125,GBIME,49,51,11,237.00,2607.00,2026-04-01
2026040101025124,GBIME,45,51,10,237.00,2370.00,2026-04-01
2026040101025501,GBIME,34,34,1122,237.00,265914.00,2026-04-01
2026040101025467,GBIME,34,42,160,237.00,37920.00,2026-04-01
2026040101025421,GBIME,34,57,2000,237.00,474000.00,2026-04-01
2026040101025281,GBIME,34,38,422,237.00,100014.00,2026-04-01
2026040101025270,GBIME,34,19,16,237.00,3792.00,2026-04-01
2026040101025188,GBIME,34,63,900,237.00,213300.00,2026-04-01
2026040101025738,GBIME,48,1,10,237.00,2370.00,2026-04-01
2026040101025714,GBIME,58,43,20,238.10,4762.00,2026-04-01
2026040101025687,GBIME,48,44,10,237.00,2370.00,2026-04-01
2026040101025518,GBIME,48,16,22,237.00,5214.00,2026-04-01
2026040101025517,GBIME,41,16,15,237.00,3555.00,2026-04-01
2026040101025516,GBIME,34,16,63,237.00,14931.00,2026-04-01
2026040101026599,GBIME,44,45,66,237.90,15701.40,2026-04-01
2026040101026566,GBIME,44,38,234,237.90,55668.60,2026-04-01
2026040101026404,GBIME,1,38,50,237.90,11895.00,2026-04-01
2026040101026401,GBIME,57,42,400,236.90,94760.00,2026-04-01
2026040101026188,GBIME,58,49,40,238.00,9520.00,2026-04-01
2026040101025835,GBIME,1,49,900,238.00,214200.00,2026-04-01
2026040101026667,GBIME,14,100,255,236.80,60384.00,2026-04-01
2026040101026666,GBIME,16,100,40,237.00,9480.00,2026-04-01
2026040101026665,GBIME,49,100,147,237.90,34971.30,2026-04-01
2026040101026602,GBIME,14,45,1515,236.80,358752.00,2026-04-01
2026040101026601,GBIME,57,45,600,236.90,142140.00,2026-04-01
2026040101026600,GBIME,36,45,250,237.00,59250.00,2026-04-01
2026040101027021,GBIME,53,49,130,236.70,30771.00,2026-04-01
2026040101027020,GBIME,14,49,230,236.80,54464.00,2026-04-01
2026040101026984,GBIME,50,45,75,236.90,17767.50,2026-04-01
2026040101026874,GBIME,50,100,305,236.90,72254.50,2026-04-01
2026040101026873,GBIME,58,100,50,237.00,11850.00,2026-04-01
2026040101026679,GBIME,76,49,10,238.00,2380.00,2026-04-01
2026040101027111,GBIME,55,17,200,236.50,47300.00,2026-04-01
2026040101027110,GBIME,58,17,470,236.70,111249.00,2026-04-01
2026040101027101,GBIME,58,14,500,236.70,118350.00,2026-04-01
2026040101027087,GBIME,58,58,30,236.70,7101.00,2026-04-01
2026040101027086,GBIME,53,58,120,236.70,28404.00,2026-04-01
2026040101027079,GBIME,18,45,300,236.90,71070.00,2026-04-01
2026040101027280,GBIME,52,18,900,236.60,212940.00,2026-04-01
2026040101027279,GBIME,6,18,100,236.60,23660.00,2026-04-01
2026040101027153,GBIME,58,45,34,236.90,8054.60,2026-04-01
2026040101027152,GBIME,58,49,215,236.80,50912.00,2026-04-01
2026040101027113,GBIME,44,17,1180,236.50,279070.00,2026-04-01
2026040101027112,GBIME,40,17,150,236.50,35475.00,2026-04-01
2026040101027583,GBIME,36,58,10,236.70,2367.00,2026-04-01
2026040101027542,GBIME,59,45,21,236.90,4974.90,2026-04-01
2026040101027461,GBIME,1,45,20,236.90,4738.00,2026-04-01
2026040101027448,GBIME,52,18,1000,236.60,236600.00,2026-04-01
2026040101027358,GBIME,52,18,1000,236.60,236600.00,2026-04-01
2026040101027285,GBIME,67,45,50,236.90,11845.00,2026-04-01
2026040101027824,GBIME,74,65,450,238.00,107100.00,2026-04-01
2026040101027823,GBIME,74,51,890,238.00,211820.00,2026-04-01
2026040101027796,GBIME,41,51,10,238.00,2380.00,2026-04-01
2026040101027795,GBIME,41,43,53,238.00,12614.00,2026-04-01
2026040101027794,GBIME,41,26,437,238.00,104006.00,2026-04-01
2026040101027681,GBIME,34,57,523,237.00,123951.00,2026-04-01
2026040101028033,GBIME,58,22,250,238.50,59625.00,2026-04-01
2026040101027986,GBIME,14,22,165,238.50,39352.50,2026-04-01
2026040101027973,GBIME,74,49,10,238.20,2382.00,2026-04-01
2026040101027948,GBIME,42,22,100,238.50,23850.00,2026-04-01
2026040101027886,GBIME,74,74,2532,238.20,603122.40,2026-04-01
2026040101027825,GBIME,74,42,1880,238.00,447440.00,2026-04-01
2026040101028654,GBIME,25,45,1000,239.00,239000.00,2026-04-01
2026040101028599,GBIME,36,49,400,238.80,95520.00,2026-04-01
2026040101028258,GBIME,59,49,100,238.80,23880.00,2026-04-01
2026040101028119,GBIME,57,22,985,238.50,234922.50,2026-04-01
